2016-10-03 17:15:32|insertó  10300 registro(s) a CIE10|1|www.indicadores.devel|/archivos/upload/procesar/1.html|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:49.0) Gecko/20100101 Firefox/49.0|1|127.0.0.1
2016-10-03 17:15:40|insertó  10600 registro(s) a CIE10|1|www.indicadores.devel|/archivos/upload/procesar/1.html|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:49.0) Gecko/20100101 Firefox/49.0|1|127.0.0.1
2016-10-03 17:15:49|insertó  10900 registro(s) a CIE10|1|www.indicadores.devel|/archivos/upload/procesar/1.html|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:49.0) Gecko/20100101 Firefox/49.0|1|127.0.0.1
2016-10-03 17:15:59|insertó  11200 registro(s) a CIE10|1|www.indicadores.devel|/archivos/upload/procesar/1.html|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:49.0) Gecko/20100101 Firefox/49.0|1|127.0.0.1
2016-10-03 17:16:19|insertó  11500 registro(s) a CIE10|1|www.indicadores.devel|/archivos/upload/procesar/1.html|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:49.0) Gecko/20100101 Firefox/49.0|1|127.0.0.1
2016-10-03 17:16:32|insertó  11800 registro(s) a CIE10|1|www.indicadores.devel|/archivos/upload/procesar/1.html|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:49.0) Gecko/20100101 Firefox/49.0|1|127.0.0.1
2016-10-03 17:16:45|insertó  12100 registro(s) a CIE10|1|www.indicadores.devel|/archivos/upload/procesar/1.html|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:49.0) Gecko/20100101 Firefox/49.0|1|127.0.0.1
2016-10-03 17:17:29|insertó  12400 registro(s) a CIE10|1|www.indicadores.devel|/archivos/upload/procesar/1.html|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:49.0) Gecko/20100101 Firefox/49.0|1|127.0.0.1
2016-10-03 17:17:47|insertó  12449 registro(s) a CIE10|1|www.indicadores.devel|/archivos/upload/procesar/1.html|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:49.0) Gecko/20100101 Firefox/49.0|1|127.0.0.1
2016-10-03 17:30:09|Cerró session|1|www.indicadores.devel|/seguridad/seguridad/logout.html|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:49.0) Gecko/20100101 Firefox/49.0|1|127.0.0.1
2016-10-03 17:53:57|Inició session|1|www.indicadores.devel|/seguridad/seguridad/ingresar_sistema.html|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:49.0) Gecko/20100101 Firefox/49.0|1|127.0.0.1
2016-10-03 17:54:27|Editó la pagina Subir archivo(id::6)|1|www.indicadores.devel|/seguridad/pagina/editar/6|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:49.0) Gecko/20100101 Firefox/49.0|1|127.0.0.1
2016-10-03 17:55:01|Editó la pagina Subir archivo(id::6)|1|www.indicadores.devel|/seguridad/pagina/editar/6|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:49.0) Gecko/20100101 Firefox/49.0|1|127.0.0.1
2016-10-03 18:14:30|Subio archivo ce_20161003181430_57f2e6566abff.xlsx(id::2)|1|www.indicadores.devel|/archivos/upload/registro.html|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:49.0) Gecko/20100101 Firefox/49.0|1|127.0.0.1
